author_id,openalex_author_id_url,display_name,orcid,source
A5090570042,https://openalex.org/A5090570042,Jeffrey Heer,https://orcid.org/0000-0002-6175-1655,openalex
A5034666613,https://openalex.org/A5034666613,Connor Wilson,https://orcid.org/0000-0002-6936-4078,openalex
A5092968364,https://openalex.org/A5092968364,Eduardo Puerta,https://orcid.org/0000-0003-4664-4365,openalex
A5005364495,https://openalex.org/A5005364495,Tarik Crnovrsanin,https://orcid.org/0000-0002-4397-5532,openalex
A5061093749,https://openalex.org/A5061093749,Sara Di Bartolomeo,https://orcid.org/0000-0001-9517-3526,openalex
A5063230893,https://openalex.org/A5063230893,Cody Dunne,https://orcid.org/0000-0002-1609-9776,openalex
A5023554677,https://openalex.org/A5023554677,Yash Prakash,https://orcid.org/0000-0001-8593-327X,openalex
A5107403663,https://openalex.org/A5107403663,Pathan Aseef Khan,,openalex
A5008639441,https://openalex.org/A5008639441,Akshay Kolgar Nayak,https://orcid.org/0009-0000-9992-9706,openalex
A5048398447,https://openalex.org/A5048398447,Sampath Jayarathna,https://orcid.org/0000-0002-4879-7309,openalex
A5049496836,https://openalex.org/A5049496836,Hae Na Lee,https://orcid.org/0000-0002-2183-1722,openalex
A5043659434,https://openalex.org/A5043659434,Vikas Ashok,https://orcid.org/0000-0002-4772-1265,openalex
A5077450520,https://openalex.org/A5077450520,Vaishali Dhanoa,https://orcid.org/0000-0002-0493-8616,openalex
A5066639486,https://openalex.org/A5066639486,Andreas Hinterreiter,https://orcid.org/0000-0003-4101-5180,openalex
A5107131205,https://openalex.org/A5107131205,Vanessa Fediuk,,openalex
A5034277315,https://openalex.org/A5034277315,Niklas Elmqvist,https://orcid.org/0000-0001-5805-5301,openalex
A5110321988,https://openalex.org/A5110321988,Eduard Gröller,,openalex
A5042080340,https://openalex.org/A5042080340,Marc Streit,https://orcid.org/0000-0001-9186-2092,openalex
A5103283733,https://openalex.org/A5103283733,Mengjie Fan,https://orcid.org/0000-0002-7588-3800,openalex
A5030429587,https://openalex.org/A5030429587,Jinlu Yu,https://orcid.org/0000-0003-2329-7946,openalex
A5073619125,https://openalex.org/A5073619125,Daniel Weiskopf,https://orcid.org/0000-0003-1174-1026,openalex
A5000474356,https://openalex.org/A5000474356,Nan Cao,https://orcid.org/0000-0003-1316-7515,openalex
A5100706689,https://openalex.org/A5100706689,Huaiyu Wang,https://orcid.org/0000-0002-9093-8793,openalex
A5100425172,https://openalex.org/A5100425172,Liang Zhou,https://orcid.org/0000-0002-0462-4131,openalex
A5019143852,https://openalex.org/A5019143852,Mohamed Kissi,https://orcid.org/0000-0003-4099-6992,openalex
A5028659844,https://openalex.org/A5028659844,Mathieu Pont,https://orcid.org/0000-0002-0037-0314,openalex
A5087561934,https://openalex.org/A5087561934,Anjana Arunkumar,https://orcid.org/0000-0003-3513-8600,openalex
A5043391973,https://openalex.org/A5043391973,Chris Bryan,https://orcid.org/0000-0003-2430-815X,openalex
